INFO  | 2020-06-11 22:59:06 | [main] pages.HomePage (HomePage.java:62) - Radio Button Clicked Female
INFO  | 2020-06-11 22:59:07 | [main] actions.DefaultActions (DefaultActions.java:71) - Click on Button Located by By.chained({By.id: com.androidsample.generalstore:id/btnLetsShop})
INFO  | 2020-06-11 22:59:07 | [main] pages.HomePage (HomePage.java:67) - Click button Located by By.chained({By.id: com.androidsample.generalstore:id/btnLetsShop})
INFO  | 2020-06-11 22:59:08 | [main] actions.DefaultActions (DefaultActions.java:114) - Validation successfully!!!
INFO  | 2020-06-11 22:59:08 | [main] pages.ProductPage (ProductPage.java:62) -  Valdiation Passed - Current Page:- Products Page
INFO  | 2020-06-11 22:59:14 | [main] actions.DefaultActions (DefaultActions.java:136) - Scrolling to the given text: Jordan Lift Off
INFO  | 2020-06-11 22:59:15 | [main] pages.ProductPage (ProductPage.java:48) - Adding product to cart
INFO  | 2020-06-11 22:59:20 | [main] actions.DefaultActions (DefaultActions.java:136) - Scrolling to the given text: Air Jordan 4 Retro
INFO  | 2020-06-11 22:59:21 | [main] pages.ProductPage (ProductPage.java:48) - Adding product to cart
INFO  | 2020-06-11 22:59:22 | [main] actions.DefaultActions (DefaultActions.java:71) - Click on Button Located by By.chained({By.id: com.androidsample.generalstore:id/appbar_btn_cart})
INFO  | 2020-06-11 22:59:22 | [main] pages.ProductPage (ProductPage.java:56) - Click on Button Located by By.chained({By.id: com.androidsample.generalstore:id/appbar_btn_cart})
INFO  | 2020-06-11 22:59:22 | [main] actions.DefaultActions (DefaultActions.java:114) - Validation successfully!!!
INFO  | 2020-06-11 22:59:22 | [main] pages.CartPage (CartPage.java:113) -  Valdiation Passed Located by By.chained({By.id: com.androidsample.generalstore:id/toolbar_title}) is equal to Cart
INFO  | 2020-06-11 22:59:22 | [main] pages.CartPage (CartPage.java:71) - Total Amount 275.97
INFO  | 2020-06-11 22:59:22 | [main] actions.DefaultActions (DefaultActions.java:91) - Performed Implicit Wait 5
INFO  | 2020-06-11 22:59:22 | [main] actions.DefaultActions (DefaultActions.java:145) - Returing size of given collection [[[io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.androidsample.generalstore.SplashActivity, appPackage=com.androidsample.generalstore, appiumVersion=1.15.1, automationName=UiAutomator1, databaseEnabled=false, desired={platformName=android, deviceOrientation=portrait, appActivity=com.androidsample.generalstore.SplashActivity, appPackage=com.androidsample.generalstore, appiumVersion=1.15.1, automationName=UiAutomator1, deviceName=OnePlus, fullReset=false, noReset=true, platformVersion=10, udid=85c359fb}, deviceManufacturer=OnePlus, deviceModel=HD1901, deviceName=85c359fb, deviceOrientation=portrait, deviceScreenSize=1080x2400, deviceUDID=85c359fb, fullReset=false, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, noReset=true, platform=LINUX, platformName=Android, platformVersion=10, takesScreenshot=true, udid=85c359fb, warnings={}, webStorageEnabled=false}] -> id: com.androidsample.generalstore:id/productPrice], [[io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.androidsample.generalstore.SplashActivity, appPackage=com.androidsample.generalstore, appiumVersion=1.15.1, automationName=UiAutomator1, databaseEnabled=false, desired={platformName=android, deviceOrientation=portrait, appActivity=com.androidsample.generalstore.SplashActivity, appPackage=com.androidsample.generalstore, appiumVersion=1.15.1, automationName=UiAutomator1, deviceName=OnePlus, fullReset=false, noReset=true, platformVersion=10, udid=85c359fb}, deviceManufacturer=OnePlus, deviceModel=HD1901, deviceName=85c359fb, deviceOrientation=portrait, deviceScreenSize=1080x2400, deviceUDID=85c359fb, fullReset=false, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, noReset=true, platform=LINUX, platformName=Android, platformVersion=10, takesScreenshot=true, udid=85c359fb, warnings={}, webStorageEnabled=false}] -> id: com.androidsample.generalstore:id/productPrice]]
INFO  | 2020-06-11 22:59:22 | [main] pages.CartPage (CartPage.java:63) - Total Products Amounts 115.0
INFO  | 2020-06-11 22:59:22 | [main] pages.CartPage (CartPage.java:63) - Total Products Amounts 275.97
ERROR | 2020-06-11 22:59:22 | [main] pages.CartPage (CartPage.java:80) - Validation Unsuccessful: Final Amount(275.97) is not equal to Sum of cost price(275.97)of each product
INFO  | 2020-06-11 22:59:22 | [main] test.Base (Base.java:40) - ------------------------------ Closing Drive instance ------------------------------
INFO  | 2020-06-11 22:59:48 | [main] test.Base (Base.java:32) - ------------------------------ Starting Appium Server ------------------------------
INFO  | 2020-06-11 22:59:48 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: appPackage value: com.androidsample.generalstore
INFO  | 2020-06-11 22:59:48 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: appActivity value: com.androidsample.generalstore.SplashActivity
INFO  | 2020-06-11 22:59:48 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: noReset value: true
INFO  | 2020-06-11 22:59:48 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: appiumVersion value: 1.15.1
INFO  | 2020-06-11 22:59:48 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: platformVersion value: 10
INFO  | 2020-06-11 22:59:48 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: automationName value: UiAutomator1
INFO  | 2020-06-11 22:59:48 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: deviceOrientation value: portrait
INFO  | 2020-06-11 22:59:48 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: platformName value: Android
INFO  | 2020-06-11 22:59:48 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: udid value: 85c359fb
INFO  | 2020-06-11 22:59:48 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: deviceName value: OnePlus
INFO  | 2020-06-11 22:59:48 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: fullReset value: false
INFO  | 2020-06-11 22:59:48 | [main] dataProvider.ConfigDataProvider (ConfigDataProvider.java:32) - Returning value of given key: APPIUM_IP value: 127.0.0.1
INFO  | 2020-06-11 22:59:48 | [main] dataProvider.ConfigDataProvider (ConfigDataProvider.java:32) - Returning value of given key: APPIUM_PORT value: 4723
INFO  | 2020-06-11 23:01:23 | [main] test.Base (Base.java:32) - ------------------------------ Starting Appium Server ------------------------------
INFO  | 2020-06-11 23:01:23 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: appPackage value: com.androidsample.generalstore
INFO  | 2020-06-11 23:01:23 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: appActivity value: com.androidsample.generalstore.SplashActivity
INFO  | 2020-06-11 23:01:23 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: noReset value: true
INFO  | 2020-06-11 23:01:23 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: appiumVersion value: 1.15.1
INFO  | 2020-06-11 23:01:23 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: platformVersion value: 10
INFO  | 2020-06-11 23:01:23 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: automationName value: UiAutomator1
INFO  | 2020-06-11 23:01:23 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: deviceOrientation value: portrait
INFO  | 2020-06-11 23:01:23 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: platformName value: Android
INFO  | 2020-06-11 23:01:23 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: udid value: 85c359fb
INFO  | 2020-06-11 23:01:23 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: deviceName value: OnePlus
INFO  | 2020-06-11 23:01:23 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: fullReset value: false
INFO  | 2020-06-11 23:01:23 | [main] dataProvider.ConfigDataProvider (ConfigDataProvider.java:32) - Returning value of given key: APPIUM_IP value: 127.0.0.1
INFO  | 2020-06-11 23:01:23 | [main] dataProvider.ConfigDataProvider (ConfigDataProvider.java:32) - Returning value of given key: APPIUM_PORT value: 4723
INFO  | 2020-06-11 23:03:52 | [main] test.Base (Base.java:32) - ------------------------------ Starting Appium Server ------------------------------
INFO  | 2020-06-11 23:03:52 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: appPackage value: com.androidsample.generalstore
INFO  | 2020-06-11 23:03:52 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: appActivity value: com.androidsample.generalstore.SplashActivity
INFO  | 2020-06-11 23:03:52 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: noReset value: true
INFO  | 2020-06-11 23:03:52 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: appiumVersion value: 1.15.1
INFO  | 2020-06-11 23:03:52 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: platformVersion value: 10
INFO  | 2020-06-11 23:03:52 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: automationName value: UiAutomator1
INFO  | 2020-06-11 23:03:52 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: deviceOrientation value: portrait
INFO  | 2020-06-11 23:03:52 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: platformName value: Android
INFO  | 2020-06-11 23:03:52 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: udid value: 85c359fb
INFO  | 2020-06-11 23:03:52 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: deviceName value: OnePlus
INFO  | 2020-06-11 23:03:52 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: fullReset value: false
INFO  | 2020-06-11 23:03:52 | [main] dataProvider.ConfigDataProvider (ConfigDataProvider.java:32) - Returning value of given key: APPIUM_IP value: 127.0.0.1
INFO  | 2020-06-11 23:03:52 | [main] dataProvider.ConfigDataProvider (ConfigDataProvider.java:32) - Returning value of given key: APPIUM_PORT value: 4723
INFO  | 2020-06-11 23:04:19 | [main] actions.DefaultActions (DefaultActions.java:114) - Validation successfully!!!
INFO  | 2020-06-11 23:04:35 | [main] pages.HomePage (HomePage.java:73) -  Valdiation Passed Located by By.chained({By.id: com.androidsample.generalstore:id/toolbar_title}) is equal to General Store
INFO  | 2020-06-11 23:05:05 | [main] actions.DefaultActions (DefaultActions.java:41) - Cook Islands selected in drop down
INFO  | 2020-06-11 23:05:05 | [main] pages.HomePage (HomePage.java:48) - Drop Down: Country Selected Cook Islands
INFO  | 2020-06-11 23:05:12 | [main] actions.DefaultActions (DefaultActions.java:51) - I still long for her entered in Mobile TextBox Located by By.chained({By.id: com.androidsample.generalstore:id/nameField})
INFO  | 2020-06-11 23:05:12 | [main] pages.HomePage (HomePage.java:53) - Input Text I still long for her
INFO  | 2020-06-11 23:05:13 | [main] actions.DefaultActions (DefaultActions.java:61) - Click performed on Radio Button Located by By.chained({By.id: com.androidsample.generalstore:id/radioFemale})
INFO  | 2020-06-11 23:05:13 | [main] pages.HomePage (HomePage.java:62) - Radio Button Clicked Female
INFO  | 2020-06-11 23:05:14 | [main] actions.DefaultActions (DefaultActions.java:71) - Click on Button Located by By.chained({By.id: com.androidsample.generalstore:id/btnLetsShop})
INFO  | 2020-06-11 23:05:14 | [main] pages.HomePage (HomePage.java:67) - Click button Located by By.chained({By.id: com.androidsample.generalstore:id/btnLetsShop})
INFO  | 2020-06-11 23:05:14 | [main] actions.DefaultActions (DefaultActions.java:114) - Validation successfully!!!
INFO  | 2020-06-11 23:05:14 | [main] pages.ProductPage (ProductPage.java:62) -  Valdiation Passed - Current Page:- Products Page
INFO  | 2020-06-11 23:05:26 | [main] actions.DefaultActions (DefaultActions.java:136) - Scrolling to the given text: Jordan Lift Off
INFO  | 2020-06-11 23:05:27 | [main] pages.ProductPage (ProductPage.java:48) - Adding product to cart
INFO  | 2020-06-11 23:05:32 | [main] actions.DefaultActions (DefaultActions.java:136) - Scrolling to the given text: Air Jordan 4 Retro
INFO  | 2020-06-11 23:05:32 | [main] pages.ProductPage (ProductPage.java:48) - Adding product to cart
INFO  | 2020-06-11 23:05:34 | [main] actions.DefaultActions (DefaultActions.java:71) - Click on Button Located by By.chained({By.id: com.androidsample.generalstore:id/appbar_btn_cart})
INFO  | 2020-06-11 23:05:34 | [main] pages.ProductPage (ProductPage.java:56) - Click on Button Located by By.chained({By.id: com.androidsample.generalstore:id/appbar_btn_cart})
INFO  | 2020-06-11 23:05:34 | [main] actions.DefaultActions (DefaultActions.java:114) - Validation successfully!!!
INFO  | 2020-06-11 23:05:34 | [main] pages.CartPage (CartPage.java:113) -  Valdiation Passed Located by By.chained({By.id: com.androidsample.generalstore:id/toolbar_title}) is equal to Cart
INFO  | 2020-06-11 23:05:34 | [main] pages.CartPage (CartPage.java:71) - Total Amount 275.97
INFO  | 2020-06-11 23:05:34 | [main] actions.DefaultActions (DefaultActions.java:91) - Performed Implicit Wait 5
INFO  | 2020-06-11 23:05:34 | [main] actions.DefaultActions (DefaultActions.java:145) - Returing size of given collection [[[io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.androidsample.generalstore.SplashActivity, appPackage=com.androidsample.generalstore, appiumVersion=1.15.1, automationName=UiAutomator1, databaseEnabled=false, desired={platformName=android, deviceOrientation=portrait, appActivity=com.androidsample.generalstore.SplashActivity, appPackage=com.androidsample.generalstore, appiumVersion=1.15.1, automationName=UiAutomator1, deviceName=OnePlus, fullReset=false, noReset=true, platformVersion=10, udid=85c359fb}, deviceManufacturer=OnePlus, deviceModel=HD1901, deviceName=85c359fb, deviceOrientation=portrait, deviceScreenSize=1080x2400, deviceUDID=85c359fb, fullReset=false, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, noReset=true, platform=LINUX, platformName=Android, platformVersion=10, takesScreenshot=true, udid=85c359fb, warnings={}, webStorageEnabled=false}] -> id: com.androidsample.generalstore:id/productPrice], [[io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.androidsample.generalstore.SplashActivity, appPackage=com.androidsample.generalstore, appiumVersion=1.15.1, automationName=UiAutomator1, databaseEnabled=false, desired={platformName=android, deviceOrientation=portrait, appActivity=com.androidsample.generalstore.SplashActivity, appPackage=com.androidsample.generalstore, appiumVersion=1.15.1, automationName=UiAutomator1, deviceName=OnePlus, fullReset=false, noReset=true, platformVersion=10, udid=85c359fb}, deviceManufacturer=OnePlus, deviceModel=HD1901, deviceName=85c359fb, deviceOrientation=portrait, deviceScreenSize=1080x2400, deviceUDID=85c359fb, fullReset=false, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, noReset=true, platform=LINUX, platformName=Android, platformVersion=10, takesScreenshot=true, udid=85c359fb, warnings={}, webStorageEnabled=false}] -> id: com.androidsample.generalstore:id/productPrice]]
INFO  | 2020-06-11 23:05:34 | [main] pages.CartPage (CartPage.java:63) - Total Products Amounts 115.0
INFO  | 2020-06-11 23:05:35 | [main] pages.CartPage (CartPage.java:63) - Total Products Amounts 275.97
INFO  | 2020-06-11 23:15:43 | [main] test.Base (Base.java:32) - ------------------------------ Starting Appium Server ------------------------------
INFO  | 2020-06-11 23:15:43 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: appPackage value: com.androidsample.generalstore
INFO  | 2020-06-11 23:15:43 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: appActivity value: com.androidsample.generalstore.SplashActivity
INFO  | 2020-06-11 23:15:43 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: noReset value: true
INFO  | 2020-06-11 23:15:43 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: appiumVersion value: 1.15.1
INFO  | 2020-06-11 23:15:43 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: platformVersion value: 10
INFO  | 2020-06-11 23:15:43 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: automationName value: UiAutomator1
INFO  | 2020-06-11 23:15:43 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: deviceOrientation value: portrait
INFO  | 2020-06-11 23:15:43 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: platformName value: Android
INFO  | 2020-06-11 23:15:43 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: udid value: 85c359fb
INFO  | 2020-06-11 23:15:43 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: deviceName value: OnePlus
INFO  | 2020-06-11 23:15:43 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: fullReset value: false
INFO  | 2020-06-11 23:15:43 | [main] dataProvider.ConfigDataProvider (ConfigDataProvider.java:32) - Returning value of given key: APPIUM_IP value: 127.0.0.1
INFO  | 2020-06-11 23:15:43 | [main] dataProvider.ConfigDataProvider (ConfigDataProvider.java:32) - Returning value of given key: APPIUM_PORT value: 4723
ERROR | 2020-06-11 23:15:49 | [main] actions.DefaultActions (DefaultActions.java:124) - Exception Occured: Can't locate an element by this strategy: By.chained({By.id: com.androidsample.generalstore:id/toolbar_title})
INFO  | 2020-06-11 23:15:49 | [main] pages.HomePage (HomePage.java:75) -  Valdiation Passed Located by By.chained({By.id: com.androidsample.generalstore:id/toolbar_title}) is not equal to General Store
INFO  | 2020-06-11 23:16:04 | [main] actions.DefaultActions (DefaultActions.java:41) - Cook Islands selected in drop down
INFO  | 2020-06-11 23:16:04 | [main] pages.HomePage (HomePage.java:48) - Drop Down: Country Selected Cook Islands
INFO  | 2020-06-11 23:16:11 | [main] actions.DefaultActions (DefaultActions.java:51) - I still long for her entered in Mobile TextBox Located by By.chained({By.id: com.androidsample.generalstore:id/nameField})
INFO  | 2020-06-11 23:16:11 | [main] pages.HomePage (HomePage.java:53) - Input Text I still long for her
INFO  | 2020-06-11 23:16:12 | [main] actions.DefaultActions (DefaultActions.java:61) - Click performed on Radio Button Located by By.chained({By.id: com.androidsample.generalstore:id/radioFemale})
INFO  | 2020-06-11 23:16:12 | [main] pages.HomePage (HomePage.java:62) - Radio Button Clicked Female
INFO  | 2020-06-11 23:16:13 | [main] actions.DefaultActions (DefaultActions.java:71) - Click on Button Located by By.chained({By.id: com.androidsample.generalstore:id/btnLetsShop})
INFO  | 2020-06-11 23:16:13 | [main] pages.HomePage (HomePage.java:67) - Click button Located by By.chained({By.id: com.androidsample.generalstore:id/btnLetsShop})
INFO  | 2020-06-11 23:16:13 | [main] actions.DefaultActions (DefaultActions.java:114) - Validation successfully!!!
INFO  | 2020-06-11 23:16:13 | [main] pages.ProductPage (ProductPage.java:62) -  Valdiation Passed - Current Page:- Products Page
INFO  | 2020-06-11 23:16:20 | [main] actions.DefaultActions (DefaultActions.java:136) - Scrolling to the given text: Jordan Lift Off
INFO  | 2020-06-11 23:16:21 | [main] pages.ProductPage (ProductPage.java:48) - Adding product to cart
INFO  | 2020-06-11 23:16:26 | [main] actions.DefaultActions (DefaultActions.java:136) - Scrolling to the given text: Air Jordan 4 Retro
INFO  | 2020-06-11 23:16:27 | [main] pages.ProductPage (ProductPage.java:48) - Adding product to cart
INFO  | 2020-06-11 23:16:28 | [main] actions.DefaultActions (DefaultActions.java:71) - Click on Button Located by By.chained({By.id: com.androidsample.generalstore:id/appbar_btn_cart})
INFO  | 2020-06-11 23:16:28 | [main] pages.ProductPage (ProductPage.java:56) - Click on Button Located by By.chained({By.id: com.androidsample.generalstore:id/appbar_btn_cart})
INFO  | 2020-06-11 23:16:28 | [main] actions.DefaultActions (DefaultActions.java:114) - Validation successfully!!!
INFO  | 2020-06-11 23:16:28 | [main] pages.CartPage (CartPage.java:113) -  Valdiation Passed Located by By.chained({By.id: com.androidsample.generalstore:id/toolbar_title}) is equal to Cart
INFO  | 2020-06-11 23:16:28 | [main] pages.CartPage (CartPage.java:71) - Total Amount 275.97
INFO  | 2020-06-11 23:16:28 | [main] actions.DefaultActions (DefaultActions.java:91) - Performed Implicit Wait 5
INFO  | 2020-06-11 23:16:28 | [main] actions.DefaultActions (DefaultActions.java:145) - Returing size of given collection [[[io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.androidsample.generalstore.SplashActivity, appPackage=com.androidsample.generalstore, appiumVersion=1.15.1, automationName=UiAutomator1, databaseEnabled=false, desired={platformName=android, deviceOrientation=portrait, appActivity=com.androidsample.generalstore.SplashActivity, appPackage=com.androidsample.generalstore, appiumVersion=1.15.1, automationName=UiAutomator1, deviceName=OnePlus, fullReset=false, noReset=true, platformVersion=10, udid=85c359fb}, deviceManufacturer=OnePlus, deviceModel=HD1901, deviceName=85c359fb, deviceOrientation=portrait, deviceScreenSize=1080x2400, deviceUDID=85c359fb, fullReset=false, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, noReset=true, platform=LINUX, platformName=Android, platformVersion=10, takesScreenshot=true, udid=85c359fb, warnings={}, webStorageEnabled=false}] -> id: com.androidsample.generalstore:id/productPrice], [[io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.androidsample.generalstore.SplashActivity, appPackage=com.androidsample.generalstore, appiumVersion=1.15.1, automationName=UiAutomator1, databaseEnabled=false, desired={platformName=android, deviceOrientation=portrait, appActivity=com.androidsample.generalstore.SplashActivity, appPackage=com.androidsample.generalstore, appiumVersion=1.15.1, automationName=UiAutomator1, deviceName=OnePlus, fullReset=false, noReset=true, platformVersion=10, udid=85c359fb}, deviceManufacturer=OnePlus, deviceModel=HD1901, deviceName=85c359fb, deviceOrientation=portrait, deviceScreenSize=1080x2400, deviceUDID=85c359fb, fullReset=false, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, noReset=true, platform=LINUX, platformName=Android, platformVersion=10, takesScreenshot=true, udid=85c359fb, warnings={}, webStorageEnabled=false}] -> id: com.androidsample.generalstore:id/productPrice]]
INFO  | 2020-06-11 23:16:29 | [main] pages.CartPage (CartPage.java:63) - Total Products Amounts 115.0
INFO  | 2020-06-11 23:16:29 | [main] pages.CartPage (CartPage.java:63) - Total Products Amounts 275.97
INFO  | 2020-06-11 23:16:29 | [main] pages.CartPage (CartPage.java:76) - Validation Successful: Final Amount(275.97) is equal to Sum of cost price(275.97) of each product
INFO  | 2020-06-11 23:16:29 | [main] test.Base (Base.java:40) - ------------------------------ Closing Drive instance ------------------------------
INFO  | 2020-06-21 01:53:31 | [main] test.Base (Base.java:34) - ------------------------------ Starting Appium Server ------------------------------
INFO  | 2020-06-21 01:53:31 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: appPackage value: com.androidsample.generalstore
INFO  | 2020-06-21 01:53:31 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: appActivity value: com.androidsample.generalstore.SplashActivity
INFO  | 2020-06-21 01:53:31 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: noReset value: true
INFO  | 2020-06-21 01:53:31 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: appiumVersion value: 1.15.1
INFO  | 2020-06-21 01:53:31 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: platformVersion value: 10
INFO  | 2020-06-21 01:53:31 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: automationName value: UiAutomator1
INFO  | 2020-06-21 01:53:31 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: deviceOrientation value: portrait
INFO  | 2020-06-21 01:53:31 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: platformName value: Android
INFO  | 2020-06-21 01:53:31 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: udid value: 85c359fb
INFO  | 2020-06-21 01:53:31 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: deviceName value: OnePlus
INFO  | 2020-06-21 01:53:31 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: fullReset value: false
INFO  | 2020-06-21 01:53:31 | [main] dataProvider.ConfigDataProvider (ConfigDataProvider.java:32) - Returning value of given key: APPIUM_IP value: 127.0.0.1
INFO  | 2020-06-21 01:53:31 | [main] dataProvider.ConfigDataProvider (ConfigDataProvider.java:32) - Returning value of given key: APPIUM_PORT value: 4723
INFO  | 2020-06-21 01:53:42 | [main] test.Base (Base.java:34) - ------------------------------ Starting Appium Server ------------------------------
INFO  | 2020-06-21 01:53:42 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: appPackage value: com.androidsample.generalstore
INFO  | 2020-06-21 01:53:42 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: appActivity value: com.androidsample.generalstore.SplashActivity
INFO  | 2020-06-21 01:53:42 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: noReset value: true
INFO  | 2020-06-21 01:53:42 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: appiumVersion value: 1.15.1
INFO  | 2020-06-21 01:53:42 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: platformVersion value: 10
INFO  | 2020-06-21 01:53:42 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: automationName value: UiAutomator1
INFO  | 2020-06-21 01:53:42 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: deviceOrientation value: portrait
INFO  | 2020-06-21 01:53:42 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: platformName value: Android
INFO  | 2020-06-21 01:53:42 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: udid value: 85c359fb
INFO  | 2020-06-21 01:53:42 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: deviceName value: OnePlus
INFO  | 2020-06-21 01:53:42 | [main] factory.DriverFactory (DriverFactory.java:46) - Setting Capabilities: fullReset value: false
INFO  | 2020-06-21 01:53:42 | [main] dataProvider.ConfigDataProvider (ConfigDataProvider.java:32) - Returning value of given key: APPIUM_IP value: 127.0.0.1
INFO  | 2020-06-21 01:53:42 | [main] dataProvider.ConfigDataProvider (ConfigDataProvider.java:32) - Returning value of given key: APPIUM_PORT value: 4723
ERROR | 2020-06-21 01:53:49 | [main] actions.DefaultActions (DefaultActions.java:124) - Exception Occured: Can't locate an element by this strategy: By.chained({By.id: com.androidsample.generalstore:id/toolbar_title})
INFO  | 2020-06-21 01:53:49 | [main] pages.HomePage (HomePage.java:75) -  Valdiation Passed Located by By.chained({By.id: com.androidsample.generalstore:id/toolbar_title}) is not equal to General Store
INFO  | 2020-06-21 01:54:05 | [main] actions.DefaultActions (DefaultActions.java:41) - Cook Islands selected in drop down
INFO  | 2020-06-21 01:54:05 | [main] pages.HomePage (HomePage.java:48) - Drop Down: Country Selected Cook Islands
INFO  | 2020-06-21 01:54:11 | [main] actions.DefaultActions (DefaultActions.java:51) - I still long for her entered in Mobile TextBox Located by By.chained({By.id: com.androidsample.generalstore:id/nameField})
INFO  | 2020-06-21 01:54:11 | [main] pages.HomePage (HomePage.java:53) - Input Text I still long for her
INFO  | 2020-06-21 01:54:12 | [main] actions.DefaultActions (DefaultActions.java:61) - Click performed on Radio Button Located by By.chained({By.id: com.androidsample.generalstore:id/radioFemale})
INFO  | 2020-06-21 01:54:12 | [main] pages.HomePage (HomePage.java:62) - Radio Button Clicked Female
INFO  | 2020-06-21 01:54:13 | [main] actions.DefaultActions (DefaultActions.java:71) - Click on Button Located by By.chained({By.id: com.androidsample.generalstore:id/btnLetsShop})
INFO  | 2020-06-21 01:54:13 | [main] pages.HomePage (HomePage.java:67) - Click button Located by By.chained({By.id: com.androidsample.generalstore:id/btnLetsShop})
INFO  | 2020-06-21 01:54:14 | [main] actions.DefaultActions (DefaultActions.java:114) - Validation successfully!!!
